"subject","CHILDCARE_ARRANGEMENT","homebased_daycare_yn","licensed_provider_yn"
"26-2496406","Care by a relative","Yes","Yes"
"26-2499583","Care in child’s home by a non-relative","No","No"
"26-1382067","Daycare (centre-based or home-based)","Yes","No"
"26-2495982","Care by a relative","No","Yes"
"26-2535642","Care by a relative","Yes","No"
"26-3818970","Daycare (centre-based or home-based)","No","Yes"
"26-2495175","Care in child’s home by a non-relative","Yes","No"
"26-1351758","Care in child’s home by a non-relative","Yes","No"
"26-2511867","Care in someone’s home by a non-relative","Yes","Yes"
"26-1367298","Daycare (centre-based or home-based)","Yes","No"
"26-1382780","Care in child’s home by a non-relative","Yes","Yes"
"26-1356974","Care in someone’s home by a non-relative","No","Yes"
"26-2519026","Daycare (centre-based or home-based)","Yes","No"
"26-3503763","Daycare (centre-based or home-based)","No","Yes"
"26-1391530","Care in child’s home by a non-relative","No","No"
"26-3827839","Daycare (centre-based or home-based)","Yes","Yes"
"26-1357077","Daycare (centre-based or home-based)","Yes","No"
"26-1863221","Care in child’s home by a non-relative","Yes","No"
"26-2524334","Care by a relative","Yes","Yes"
"26-2495982","Care in child’s home by a non-relative","No","No"
"26-2499308","Care by a relative","No","No"
"26-1379885","Care in child’s home by a non-relative","No","No"
"26-3469294","Care in child’s home by a non-relative","Yes","Yes"
"26-3505429","Care in someone’s home by a non-relative","No","No"
"26-1401138","Daycare (centre-based or home-based)","No","No"
"26-1395427","Daycare (centre-based or home-based)","Yes","Yes"
"26-1364483","Care in someone’s home by a non-relative","Yes","No"
"26-3468266","Care by a relative","No","No"
"26-1379847","Care by a relative","No","No"
"26-2534081","Care by a relative","No","Yes"
"26-3813133","Daycare (centre-based or home-based)","Yes","No"
"26-1354244","Care in child’s home by a non-relative","Yes","No"
"26-3823808","Care in someone’s home by a non-relative","No","No"
"26-2499445","Daycare (centre-based or home-based)","No","Yes"
"26-2517036","Care by a relative","No","Yes"
"26-3825968","Daycare (centre-based or home-based)","Yes","No"
"26-3825884","Care in someone’s home by a non-relative","Yes","No"
"26-2523217","Daycare (centre-based or home-based)","Yes","Yes"
"26-1352194","Care by a relative","No","Yes"
"26-1375576","Care in child’s home by a non-relative","No","No"
"26-1373401","Care by a relative","Yes","No"
"26-3467334","Care by a relative","Yes","No"
"26-2491551","Daycare (centre-based or home-based)","Yes","Yes"
"26-1356270","Daycare (centre-based or home-based)","No","Yes"
"26-2534444","Care by a relative","No","Yes"
"26-3462597","Daycare (centre-based or home-based)","Yes","Yes"
"26-2517829","Care in child’s home by a non-relative","Yes","No"
"26-3826735","Care in child’s home by a non-relative","No","No"
"26-2534759","Care in someone’s home by a non-relative","No","Yes"
"26-1391530","Care in someone’s home by a non-relative","No","Yes"
"26-2538943","Daycare (centre-based or home-based)","Yes","Yes"
"26-3827449","Care by a relative","Yes","Yes"
"26-2535002","Care by a relative","Yes","No"
"26-1351792","Care in child’s home by a non-relative","Yes","Yes"
"26-3505772","Care by a relative","No","No"
"26-1354643","Care in someone’s home by a non-relative","Yes","Yes"
"26-1392681","Care in child’s home by a non-relative","Yes","Yes"
"26-2512171","Daycare (centre-based or home-based)","No","No"
"26-1389111","Care in child’s home by a non-relative","Yes","Yes"
"26-3815439","Care in child’s home by a non-relative","No","No"
"26-3463315","Care in child’s home by a non-relative","Yes","No"
"26-2524662","Daycare (centre-based or home-based)","Yes","No"
"26-1861076","Care in someone’s home by a non-relative","Yes","Yes"
"26-1398371","Daycare (centre-based or home-based)","No","No"
"26-1395382","Care in someone’s home by a non-relative","No","No"
"26-1352558","Care in someone’s home by a non-relative","No","Yes"
"26-1363576","Care in someone’s home by a non-relative","Yes","No"
"26-1365357","Daycare (centre-based or home-based)","No","Yes"
"26-1352800","Care by a relative","No","Yes"
"26-1353579","Daycare (centre-based or home-based)","No","No"
"26-3503860","Care in child’s home by a non-relative","No","No"
"26-1354616","Care in child’s home by a non-relative","Yes","No"
"26-3824301","Care in child’s home by a non-relative","No","Yes"
"26-1399319","Care in child’s home by a non-relative","Yes","Yes"
"26-3821769","Daycare (centre-based or home-based)","Yes","Yes"
"26-1365167","Care in child’s home by a non-relative","No","Yes"
"26-2528734","Care by a relative","Yes","Yes"
"26-3469294","Care in someone’s home by a non-relative","Yes","No"
"26-1345125","Care in child’s home by a non-relative","No","No"
"26-2988032","Care in child’s home by a non-relative","No","Yes"
"26-2535800","Care in child’s home by a non-relative","No","Yes"
"26-3813067","Care by a relative","No","No"
"26-1867429","Care in child’s home by a non-relative","No","No"
"26-3829625","Care by a relative","Yes","No"
"26-2984757","Care by a relative","No","Yes"
"26-1355248","Care by a relative","Yes","Yes"
"26-3812853","Daycare (centre-based or home-based)","Yes","No"
"26-1357230","Care in child’s home by a non-relative","No","No"
"26-2983080","Care in child’s home by a non-relative","Yes","Yes"
"26-3814143","Care in child’s home by a non-relative","No","Yes"
"26-3467949","Care in someone’s home by a non-relative","Yes","Yes"
"26-1396206","Care by a relative","No","Yes"
"26-1862901","Care by a relative","Yes","Yes"
"26-2537625","Care by a relative","Yes","Yes"
"26-2498996","Care by a relative","No","No"
"26-1377591","Care in someone’s home by a non-relative","No","No"
"26-1355768","Care in child’s home by a non-relative","Yes","No"
"26-1402120","Care in someone’s home by a non-relative","No","No"
"26-1406754","Care by a relative","No","No"
"26-1379083","Care by a relative","No","Yes"
"26-3822755","Care by a relative","Yes","Yes"
"26-2536813","Care in someone’s home by a non-relative","No","No"
"26-3828466","Daycare (centre-based or home-based)","No","No"
"26-1386666","Care in child’s home by a non-relative","No","No"
"26-2515392","Care in someone’s home by a non-relative","No","Yes"
"26-2512171","Care in child’s home by a non-relative","No","Yes"
"26-2511101","Care in child’s home by a non-relative","Yes","No"
"26-3819006","Daycare (centre-based or home-based)","Yes","Yes"
"26-2531739","Care in someone’s home by a non-relative","No","Yes"
"26-2535198","Care in someone’s home by a non-relative","Yes","Yes"
"26-2511108","Care in someone’s home by a non-relative","No","Yes"
"26-1378329","Care by a relative","No","Yes"
"26-1865361","Care in someone’s home by a non-relative","Yes","Yes"
"26-2513868","Care by a relative","No","Yes"
"26-2531709","Care in someone’s home by a non-relative","No","Yes"
"26-2497390","Care in child’s home by a non-relative","Yes","Yes"
"26-1344459","Care in someone’s home by a non-relative","No","Yes"
"26-2516797","Care in child’s home by a non-relative","Yes","No"
"26-1398067","Care by a relative","No","Yes"
"26-2534081","Care in someone’s home by a non-relative","Yes","No"
"26-1398347","Daycare (centre-based or home-based)","Yes","No"
"26-1341019","Care in someone’s home by a non-relative","No","Yes"
"26-1374296","Care by a relative","Yes","No"
"26-1404351","Daycare (centre-based or home-based)","No","Yes"
"26-2511466","Daycare (centre-based or home-based)","No","No"
"26-1405609","Care by a relative","No","No"
"26-1379020","Care in child’s home by a non-relative","Yes","No"
"26-3827449","Daycare (centre-based or home-based)","No","Yes"
"26-1364483","Daycare (centre-based or home-based)","Yes","Yes"
"26-1361331","Daycare (centre-based or home-based)","Yes","No"
"26-3813375","Care in someone’s home by a non-relative","No","No"
"26-2518858","Daycare (centre-based or home-based)","No","No"
"26-1351593","Daycare (centre-based or home-based)","No","No"
"26-2536628","Care in someone’s home by a non-relative","No","Yes"
"26-1865280","Care in someone’s home by a non-relative","Yes","No"
"26-1356845","Care in someone’s home by a non-relative","No","Yes"
"26-2523261","Care in someone’s home by a non-relative","No","Yes"
"26-1355862","Care by a relative","No","No"
"26-3466500","Care in child’s home by a non-relative","Yes","No"
"26-2986415","Care in child’s home by a non-relative","Yes","No"
"26-1357043","Care by a relative","Yes","Yes"
"26-1363035","Care in someone’s home by a non-relative","No","Yes"
"26-2513652","Care in someone’s home by a non-relative","No","Yes"
"26-2512571","Care in child’s home by a non-relative","No","Yes"
"26-3827459","Care by a relative","Yes","No"
"26-2539978","Daycare (centre-based or home-based)","No","No"
"26-1369396","Daycare (centre-based or home-based)","No","No"
"26-1352230","Care in child’s home by a non-relative","No","No"
"26-2521202","Daycare (centre-based or home-based)","Yes","Yes"
"26-3811059","Care by a relative","No","No"
"26-1379573","Care in child’s home by a non-relative","Yes","Yes"
"26-1352832","Care by a relative","No","Yes"
"26-1361062","Care in someone’s home by a non-relative","No","Yes"
"26-1346142","Care in someone’s home by a non-relative","Yes","Yes"
"26-2532652","Care in child’s home by a non-relative","No","No"
"26-2511346","Care in someone’s home by a non-relative","Yes","Yes"
"26-1405394","Care in someone’s home by a non-relative","No","Yes"
"26-1862171","Daycare (centre-based or home-based)","Yes","No"
"26-2498848","Care by a relative","Yes","Yes"
"26-3505361","Care in someone’s home by a non-relative","Yes","Yes"
"26-2512518","Daycare (centre-based or home-based)","No","Yes"
"26-1396315","Care in someone’s home by a non-relative","Yes","No"
"26-1862171","Care in someone’s home by a non-relative","No","Yes"
"26-1408219","Care in someone’s home by a non-relative","Yes","Yes"
"26-2537440","Care in child’s home by a non-relative","Yes","No"
"26-3818177","Care in someone’s home by a non-relative","Yes","No"
"26-2518364","Care by a relative","Yes","No"
"26-2512560","Care by a relative","Yes","No"
"26-3508420","Care by a relative","No","No"
"26-1381726","Care by a relative","Yes","Yes"
"26-2985620","Care in child’s home by a non-relative","No","Yes"
"26-2985332","Daycare (centre-based or home-based)","No","No"
"26-1405310","Daycare (centre-based or home-based)","No","Yes"
"26-1367663","Care in child’s home by a non-relative","No","Yes"
"26-1377249","Care in someone’s home by a non-relative","Yes","Yes"
"26-3828485","Care in child’s home by a non-relative","Yes","Yes"
"26-1863466","Care in someone’s home by a non-relative","No","Yes"
"26-1387873","Care in child’s home by a non-relative","Yes","No"
"26-2981324","Care by a relative","No","No"
"26-3509976","Daycare (centre-based or home-based)","Yes","No"
"26-2512112","Care in child’s home by a non-relative","Yes","No"
"26-1355968","Care by a relative","Yes","No"
"26-1391951","Care in child’s home by a non-relative","No","Yes"
"26-2529217","Care in child’s home by a non-relative","No","Yes"
"26-1342066","Care in child’s home by a non-relative","Yes","Yes"
"26-2491913","Care in someone’s home by a non-relative","Yes","No"
"26-1343087","Care in someone’s home by a non-relative","No","Yes"
"26-1394442","Care in someone’s home by a non-relative","Yes","Yes"
"26-2499087","Care in someone’s home by a non-relative","No","Yes"
"26-2492437","Daycare (centre-based or home-based)","Yes","No"
"26-3821413","Care in child’s home by a non-relative","No","No"
"26-2492814","Care by a relative","Yes","Yes"
"26-1373237","Care in someone’s home by a non-relative","No","No"
"26-3819928","Care in someone’s home by a non-relative","Yes","No"
"26-1375961","Daycare (centre-based or home-based)","No","No"
"26-3812318","Care in someone’s home by a non-relative","No","Yes"
"26-3462019","Care by a relative","Yes","No"
"26-2517663","Care in child’s home by a non-relative","No","Yes"
"26-2499445","Care in someone’s home by a non-relative","Yes","Yes"
"26-3816183","Care in child’s home by a non-relative","Yes","No"
"26-1361062","Care in someone’s home by a non-relative","Yes","Yes"
"26-1344107","Daycare (centre-based or home-based)","No","Yes"
"26-2532373","Daycare (centre-based or home-based)","Yes","Yes"
"26-1399936","Daycare (centre-based or home-based)","No","No"
"26-1355819","Care by a relative","Yes","Yes"
"26-3819539","Care in someone’s home by a non-relative","No","No"
